,Invoicedate,Distributor,GroupId,Type,Provincename,MatNo,Material Name,New_Volume(L),Points,Month
3698,2023-03-29,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145572,MOBIL SUPER FRICTION FIGHTER TURBOSPEED 10W-30 12X1L/CAR,580,2,3
3699,2023-07-07,A,ERW_AMBP2020110210,Reseller,Sa Kaeo,134707,MOBIL DELVAC SUPER 20W-50 4X6LT CTN,640,1,7
3700,2023-10-02,A,ERW_AMBP2020110217,Retails,Nakhon Ratchasima,145473,MOBIL DELVAC MODERN 15W-40 S DEF CTN 12X1LT:TH,5680,2,10
3701,2023-03-14,A,ERW_AMBP2020110275,Retails,Sakon Nakhon,143507,MOBIL SUPER 2000 10W40 4/4+1,4780,2,3
3702,2023-05-08,A,ERW_AMBP2020110312,Retails,Nakhon Ratchasima,145499,MOBIL DELVAC MODERN 10W-30 S DEFENS V2 20L/PAIL,3380,2,5
3703,2023-12-21,A,ERW_AMBP2020110322,Retails,Khon Kaen,143162,MOBIL DELVAC MX 15W40 12/1,4340,2,12
3704,2023-09-25,A,ERW_AMBP2020110201,Reseller,Trat,143899,MOBIL ATF 220 SYN TECH CTN 12X1L:TH,3040,1,9
3705,2023-11-03,A,ERW_AMBP2020110370,Retails,Bangkok,145826,MOBIL SUPER ALL-IN-ONE PROTECTION 5W-30 4x4+1L/CAR,8040,4,11
3706,2023-11-02,A,ERW_AMBP2020110370,Retails,Bangkok,145826,MOBIL SUPER ALL-IN-ONE PROTECTION 5W-30 4x4+1L/CAR,2000,4,11
3707,2023-07-11,A,ERW_AMBP2020110380,Retails,Bangkok,145828,MOBIL SUPER ALL-IN-ONE PROTECTION 5W-40 4x4+1L/CAR,8720,4,7
3708,2023-09-25,A,ERW_AMBP2020110427,Retails,Chon Buri,145570,MOBIL SUPER FRICTION FIGHTER 10W-40 4x4+1L/CAR,6600,2,9
3709,2023-03-03,A,ERW_AMBP2020110726,Retails,Samut Prakan,143507,MOBIL SUPER 2000 10W40 4/4+1,6200,2,3
3710,2023-01-16,A,ERW_AUTN2021110008,Retails,Nakhon Ratchasima,143625,MOBIL SUPER 2000 TURBOSPEED 10W-30 12X1L:TH,4240,2,1
3711,2023-11-22,A,ERW_AWFN2023010001,Retails,Rayong,145570,MOBIL SUPER FRICTION FIGHTER 10W-40 4x4+1L/CAR,2140,2,11
3712,2023-11-04,C,ERW_C08P2020090002,Retails,Kamphaeng Phet,145438,MOBIL DELVAC LEGEND 20W-50 Standard DEFENSE PAIL20L :TH,7100,1,11
3713,2023-09-23,C,ERW_C08P2020090012,Reseller,Kamphaeng Phet,145451,MOBIL DELVAC LEGEND 20W-50 Standard DEFENSE CTN 4X6L:TH,7400,1,9
3714,2023-11-18,C,ERW_C08P2020090021,Retails,Kamphaeng Phet,145500,MOBIL DELVAC MODERN 15W-40 S DEFENSE PAIL20L:TH,2860,2,11
3715,2023-01-23,C,ERW_C08P2020090052,Reseller,Nakhon Sawan,143507,MOBIL SUPER 2000 10W40 4/4+1,6180,2,1
3716,2023-03-11,C,ERW_C08P2020090052,Reseller,Nakhon Sawan,143507,MOBIL SUPER 2000 10W40 4/4+1,3040,2,3
3717,2023-08-03,C,ERW_C08P2020090056,Retails,Nakhon Sawan,145451,MOBIL DELVAC LEGEND 20W-50 Standard DEFENSE CTN 4X6L:TH,4860,1,8
3718,2023-05-30,C,ERW_C08P2020090063,Retails,Phichit,134707,MOBIL DELVAC SUPER 20W-50 4X6LT CTN,5620,1,5
3719,2023-09-08,C,ERW_C08P2020090113,Reseller,Sukhothai,145451,MOBIL DELVAC LEGEND 20W-50 Standard DEFENSE CTN 4X6L:TH,8260,1,9
3720,2023-05-23,C,ERW_C08P2020090119,Reseller,Uttaradit,143899,MOBIL ATF 220 SYN TECH CTN 12X1L:TH,5240,1,5
